date,open,high,low,close
16/03/2020 03:10,6.3067,6.3178,6.3058,6.3126
16/03/2020 03:20,6.3126,6.3179,6.3123,6.3146
16/03/2020 03:30,6.3146,6.3172,6.3126,6.3141
16/03/2020 03:40,6.3136,6.3147,6.3126,6.3137
16/03/2020 03:50,6.3137,6.3155,6.3128,6.3145
16/03/2020 04:00,6.3145,6.3151,6.312,6.3144
16/03/2020 04:10,6.3144,6.315,6.3123,6.3141
16/03/2020 04:20,6.3143,6.3143,6.3122,6.3135
16/03/2020 04:30,6.3135,6.3142,6.3122,6.313
16/03/2020 04:40,6.313,6.3143,6.3123,6.3131
16/03/2020 04:50,6.3129,6.3146,6.3089,6.313
16/03/2020 05:00,6.313,6.3167,6.3127,6.3157
16/03/2020 05:10,6.3155,6.3167,6.3145,6.3157
16/03/2020 05:20,6.3157,6.3191,6.3146,6.3161
16/03/2020 05:30,6.3161,6.3175,6.3151,6.3163
16/03/2020 05:40,6.3163,6.3169,6.3145,6.3156
16/03/2020 05:50,6.3156,6.3164,6.3144,6.3155
16/03/2020 06:00,6.3166,6.317,6.3143,6.3155
16/03/2020 06:10,6.3155,6.3176,6.313,6.3158
16/03/2020 06:20,6.3158,6.3173,6.3141,6.3152
16/03/2020 06:30,6.3152,6.3169,6.3141,6.3167
16/03/2020 06:40,6.3167,6.3184,6.3157,6.3166
16/03/2020 06:50,6.3166,6.3197,6.3159,6.3176
16/03/2020 07:00,6.3175,6.3181,6.3134,6.3151
16/03/2020 07:10,6.3152,6.3196,6.3148,6.3164
16/03/2020 07:20,6.3164,6.3176,6.3151,6.3173
16/03/2020 07:30,6.3173,6.3192,6.3167,6.3185
16/03/2020 07:40,6.3185,6.3245,6.3169,6.3242
16/03/2020 07:50,6.3242,6.3385,6.3239,6.3359
16/03/2020 08:00,6.3359,6.3407,6.3355,6.3405
16/03/2020 08:10,6.3405,6.3409,6.3392,6.3401
16/03/2020 08:20,6.3401,6.3411,6.3391,6.3408
16/03/2020 08:30,6.3408,6.3409,6.3382,6.34
16/03/2020 08:40,6.34,6.3421,6.3398,6.341
16/03/2020 08:50,6.341,6.3445,6.3406,6.344
16/03/2020 09:00,6.344,6.3471,6.3437,6.3469
16/03/2020 09:10,6.3469,6.3535,6.3462,6.3532
16/03/2020 09:20,6.3532,6.3586,6.3531,6.358
16/03/2020 09:30,6.358,6.3639,6.3578,6.3614
16/03/2020 09:40,6.3614,6.364,6.3569,6.3627
16/03/2020 09:50,6.3627,6.3647,6.3569,6.3619
16/03/2020 10:00,6.3619,6.3626,6.3537,6.3617
16/03/2020 10:10,6.3617,6.3622,6.3583,6.3613
16/03/2020 10:20,6.3613,6.3677,6.3611,6.3659
16/03/2020 10:30,6.3659,6.3708,6.3654,6.3691
16/03/2020 10:40,6.3691,6.3715,6.364,6.3713
16/03/2020 10:50,6.3713,6.3725,6.3703,6.3713
16/03/2020 11:00,6.3713,6.3749,6.371,6.3724
